task_id,true_label,contrast,base_condition,compare_condition,js_bits,base_dist,compare_dist
gsm8k_0000,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0001,calculator,neutral_replay,wild,neutral_replay,0.7169171866886992,"[1.0, 0.0, 0.0]","[0.125, 0.875, 0.0]"
gsm8k_0002,calculator,neutral_replay,wild,neutral_replay,0.1379253809700299,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]"
gsm8k_0003,calculator,neutral_replay,wild,neutral_replay,0.21899525866266342,"[1.0, 0.0, 0.0]","[0.625, 0.375, 0.0]"
gsm8k_0004,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0005,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0006,calculator,neutral_replay,wild,neutral_replay,0.4188212310720749,"[1.0, 0.0, 0.0]","[0.375, 0.625, 0.0]"
gsm8k_0007,calculator,neutral_replay,wild,neutral_replay,0.21899525866266342,"[1.0, 0.0, 0.0]","[0.625, 0.375, 0.0]"
gsm8k_0008,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0009,calculator,neutral_replay,wild,neutral_replay,0.31127812445913283,"[1.0, 0.0, 0.0]","[0.5, 0.5, 0.0]"
gsm8k_0010,calculator,neutral_replay,wild,neutral_replay,0.31127812445913283,"[1.0, 0.0, 0.0]","[0.5, 0.5, 0.0]"
gsm8k_0011,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0012,calculator,neutral_replay,wild,neutral_replay,0.21899525866266342,"[1.0, 0.0, 0.0]","[0.625, 0.375, 0.0]"
gsm8k_0013,calculator,neutral_replay,wild,neutral_replay,0.4188212310720749,"[1.0, 0.0, 0.0]","[0.375, 0.625, 0.0]"
gsm8k_0014,calculator,neutral_replay,wild,neutral_replay,0.06550784501721568,"[1.0, 0.0, 0.0]","[0.875, 0.125, 0.0]"
gsm8k_0015,calculator,neutral_replay,wild,neutral_replay,0.1379253809700299,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]"
gsm8k_0016,calculator,neutral_replay,wild,neutral_replay,0.21899525866266342,"[1.0, 0.0, 0.0]","[0.625, 0.375, 0.0]"
gsm8k_0017,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0018,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0019,calculator,neutral_replay,wild,neutral_replay,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
gsm8k_0020,calculator,neutral_replay,wild,neutral_replay,0.5487949406953986,"[1.0, 0.0, 0.0]","[0.25, 0.75, 0.0]"
