model,content_id,category,format_i,format_j,rm_delta,rm_delta_clean
llama3:8b,bs001,bodily_state,clinical,direct,-0.011639404296874989,0.011474609375
llama3:8b,bs001,bodily_state,clinical,data,-0.012518310546874994,-0.0064941406250000056
llama3:8b,bs001,bodily_state,clinical,code,-0.019885253906249983,-0.013861083984374994
llama3:8b,bs001,bodily_state,clinical,fiction,-0.02640991210937499,-0.0203857421875
llama3:8b,bs001,bodily_state,direct,data,-0.0008789062500000056,-0.017968750000000006
llama3:8b,bs001,bodily_state,direct,code,-0.008245849609374994,-0.025335693359374994
llama3:8b,bs001,bodily_state,direct,fiction,-0.0147705078125,-0.0318603515625
llama3:8b,bs001,bodily_state,data,code,-0.007366943359374989,-0.007366943359374989
llama3:8b,bs001,bodily_state,data,fiction,-0.013891601562499994,-0.013891601562499994
llama3:8b,bs001,bodily_state,code,fiction,-0.0065246582031250056,-0.0065246582031250056
llama3:8b,bs002,bodily_state,clinical,direct,-0.0007751464843749889,nan
llama3:8b,bs002,bodily_state,clinical,data,-0.011730957031249989,nan
llama3:8b,bs002,bodily_state,clinical,code,-0.024261474609374986,nan
llama3:8b,bs002,bodily_state,clinical,fiction,-0.009387207031249983,nan
llama3:8b,bs002,bodily_state,direct,data,-0.010955810546875,nan
llama3:8b,bs002,bodily_state,direct,code,-0.023486328124999997,nan
llama3:8b,bs002,bodily_state,direct,fiction,-0.008612060546874994,nan
llama3:8b,bs002,bodily_state,data,code,-0.012530517578124997,-0.015540228949652776
llama3:8b,bs002,bodily_state,data,fiction,0.0023437500000000056,-0.0006774902343749944
llama3:8b,bs002,bodily_state,code,fiction,0.014874267578125003,0.014862738715277782
llama3:8b,bs003,bodily_state,clinical,direct,-0.008410644531250011,nan
llama3:8b,bs003,bodily_state,clinical,data,-0.011602783203125008,nan
llama3:8b,bs003,bodily_state,clinical,code,-0.016082763671875014,nan
llama3:8b,bs003,bodily_state,clinical,fiction,-0.017651367187500017,nan
llama3:8b,bs003,bodily_state,direct,data,-0.0031921386718749972,-0.010640462239583343
llama3:8b,bs003,bodily_state,direct,code,-0.007672119140625003,-0.026740180121527776
llama3:8b,bs003,bodily_state,direct,fiction,-0.009240722656250006,-0.027072482638888895
llama3:8b,bs003,bodily_state,data,code,-0.0044799804687500056,-0.016099717881944434
llama3:8b,bs003,bodily_state,data,fiction,-0.006048583984375008,-0.016432020399305552
llama3:8b,bs003,bodily_state,code,fiction,-0.0015686035156250028,-0.0003323025173611188
llama3:8b,bs004,bodily_state,clinical,direct,-0.02424926757812501,-0.02606201171875
llama3:8b,bs004,bodily_state,clinical,data,-0.03743286132812501,-0.04460906982421875
llama3:8b,bs004,bodily_state,clinical,code,-0.04184570312500001,-0.0499755859375
llama3:8b,bs004,bodily_state,clinical,fiction,-0.032189941406250006,-0.040319824218749994
llama3:8b,bs004,bodily_state,direct,data,-0.01318359375,-0.01854705810546875
llama3:8b,bs004,bodily_state,direct,code,-0.017596435546874997,-0.023913574218749997
llama3:8b,bs004,bodily_state,direct,fiction,-0.007940673828124994,-0.014257812499999994
llama3:8b,bs004,bodily_state,data,code,-0.004412841796874997,-0.005366516113281247
llama3:8b,bs004,bodily_state,data,fiction,0.0052429199218750056,0.0042892456054687556
llama3:8b,bs004,bodily_state,code,fiction,0.009655761718750003,0.009655761718750003
llama3:8b,bs005,bodily_state,clinical,direct,-0.0073913574218749944,nan
llama3:8b,bs005,bodily_state,clinical,data,-0.012982177734375003,-0.019671630859374997
llama3:8b,bs005,bodily_state,clinical,code,-0.004565429687500011,-0.011189778645833343
llama3:8b,bs005,bodily_state,clinical,fiction,-0.025280761718750003,-0.03197021484375
llama3:8b,bs005,bodily_state,direct,data,-0.005590820312500008,nan
llama3:8b,bs005,bodily_state,direct,code,0.0028259277343749833,nan
llama3:8b,bs005,bodily_state,direct,fiction,-0.01788940429687501,nan
llama3:8b,bs005,bodily_state,data,code,0.008416748046874992,0.008481852213541655
llama3:8b,bs005,bodily_state,data,fiction,-0.012298583984375,-0.012298583984375
llama3:8b,bs005,bodily_state,code,fiction,-0.02071533203124999,-0.020780436197916655
llama3:8b,bs006,bodily_state,clinical,direct,-0.04697265625000001,-0.011364746093750003
llama3:8b,bs006,bodily_state,clinical,data,-0.045257568359375,-0.01793670654296875
llama3:8b,bs006,bodily_state,clinical,code,-0.0548095703125,-0.019201660156249994
llama3:8b,bs006,bodily_state,clinical,fiction,-0.080670166015625,-0.045062255859375
llama3:8b,bs006,bodily_state,direct,data,0.0017150878906250083,-0.006571960449218747
llama3:8b,bs006,bodily_state,direct,code,-0.007836914062499992,-0.007836914062499992
llama3:8b,bs006,bodily_state,direct,fiction,-0.033697509765624994,-0.033697509765624994
llama3:8b,bs006,bodily_state,data,code,-0.009552001953125,-0.0012649536132812444
llama3:8b,bs006,bodily_state,data,fiction,-0.03541259765625,-0.027125549316406247
llama3:8b,bs006,bodily_state,code,fiction,-0.025860595703125003,-0.025860595703125003
llama3:8b,bs007,bodily_state,clinical,direct,-0.008447265624999978,nan
llama3:8b,bs007,bodily_state,clinical,data,-0.017608642578125,-0.029541015625
llama3:8b,bs007,bodily_state,clinical,code,-0.010534667968749994,-0.02410888671875
llama3:8b,bs007,bodily_state,clinical,fiction,-0.038946533203124994,-0.059197998046875006
llama3:8b,bs007,bodily_state,direct,data,-0.009161376953125022,nan
llama3:8b,bs007,bodily_state,direct,code,-0.0020874023437500167,nan
llama3:8b,bs007,bodily_state,direct,fiction,-0.030499267578125017,nan
llama3:8b,bs007,bodily_state,data,code,0.0070739746093750056,0.00543212890625
llama3:8b,bs007,bodily_state,data,fiction,-0.021337890624999994,-0.029656982421875006
llama3:8b,bs007,bodily_state,code,fiction,-0.028411865234375,-0.035089111328125006
llama3:8b,bs008,bodily_state,clinical,direct,-0.006201171875000022,nan
llama3:8b,bs008,bodily_state,clinical,data,-0.018395996093750006,nan
llama3:8b,bs008,bodily_state,clinical,code,-0.03513793945312502,nan
llama3:8b,bs008,bodily_state,clinical,fiction,-0.024481201171875022,nan
llama3:8b,bs008,bodily_state,direct,data,-0.012194824218749983,-0.0105133056640625
llama3:8b,bs008,bodily_state,direct,code,-0.028936767578124994,-0.030203683035714288
llama3:8b,bs008,bodily_state,direct,fiction,-0.018280029296875,-0.01997680664062501
llama3:8b,bs008,bodily_state,data,code,-0.01674194335937501,-0.019690377371651788
llama3:8b,bs008,bodily_state,data,fiction,-0.006085205078125017,-0.009463500976562511
llama3:8b,bs008,bodily_state,code,fiction,0.010656738281249994,0.010226876395089277
llama3:8b,dc001,deception,clinical,direct,-0.0059265136718749944,nan
llama3:8b,dc001,deception,clinical,data,-0.011016845703125,nan
llama3:8b,dc001,deception,clinical,code,-0.011437988281250006,nan
llama3:8b,dc001,deception,clinical,fiction,-0.0010803222656250028,nan
llama3:8b,dc001,deception,direct,data,-0.0050903320312500056,-0.007781982421875
llama3:8b,dc001,deception,direct,code,-0.005511474609375011,-0.010003662109375006
llama3:8b,dc001,deception,direct,fiction,0.004846191406249992,0.0008409288194444475
llama3:8b,dc001,deception,data,code,-0.00042114257812500555,-0.0022216796875000056
llama3:8b,dc001,deception,data,fiction,0.009936523437499997,0.008622911241319448
llama3:8b,dc001,deception,code,fiction,0.010357666015625003,0.010844590928819453
llama3:8b,dc002,deception,clinical,direct,-0.0186767578125,-0.021813964843750006
llama3:8b,dc002,deception,clinical,data,-0.044158935546875,-0.054437255859375006
llama3:8b,dc002,deception,clinical,code,-0.010021972656249989,-0.019158257378472224
llama3:8b,dc002,deception,clinical,fiction,-0.037353515625,-0.047631835937500006
llama3:8b,dc002,deception,direct,data,-0.025482177734375,-0.032623291015625
llama3:8b,dc002,deception,direct,code,0.008654785156250011,0.002655707465277782
llama3:8b,dc002,deception,direct,fiction,-0.0186767578125,-0.02581787109375
llama3:8b,dc002,deception,data,code,0.03413696289062501,0.03527899848090278
llama3:8b,dc002,deception,data,fiction,0.006805419921875,0.006805419921875
llama3:8b,dc002,deception,code,fiction,-0.02733154296875001,-0.028473578559027782
llama3:8b,dc003,deception,clinical,direct,0.01666259765625,nan
llama3:8b,dc003,deception,clinical,data,-0.009082031249999997,nan
llama3:8b,dc003,deception,clinical,code,0.00677490234375,nan
llama3:8b,dc003,deception,clinical,fiction,0.009820556640625006,nan
llama3:8b,dc003,deception,direct,data,-0.025744628906249997,-0.034462483723958326
llama3:8b,dc003,deception,direct,code,-0.0098876953125,-0.01860555013020833
llama3:8b,dc003,deception,direct,fiction,-0.0068420410156249944,-0.015559895833333323
llama3:8b,dc003,deception,data,code,0.015856933593749997,0.015856933593749997
llama3:8b,dc003,deception,data,fiction,0.018902587890625003,0.018902587890625003
llama3:8b,dc003,deception,code,fiction,0.0030456542968750056,0.0030456542968750056
llama3:8b,dc004,deception,clinical,direct,-0.00457763671875,-0.0053619384765624944
llama3:8b,dc004,deception,clinical,data,-0.005816650390625011,-0.005255562918526788
llama3:8b,dc004,deception,clinical,code,-0.0029113769531250028,-0.0036956787109374972
llama3:8b,dc004,deception,clinical,fiction,0.004223632812499989,0.0034393310546874944
llama3:8b,dc004,deception,direct,data,-0.001239013671875011,0.00010637555803570675
llama3:8b,dc004,deception,direct,code,0.0016662597656249972,0.0016662597656249972
llama3:8b,dc004,deception,direct,fiction,0.008801269531249989,0.008801269531249989
llama3:8b,dc004,deception,data,code,0.0029052734375000083,0.0015598842075892905
llama3:8b,dc004,deception,data,fiction,0.010040283203125,0.008694893973214282
llama3:8b,dc004,deception,code,fiction,0.007135009765624992,0.007135009765624992
llama3:8b,dc005,deception,clinical,direct,-0.008325195312500006,nan
llama3:8b,dc005,deception,clinical,data,-0.037811279296875,nan
llama3:8b,dc005,deception,clinical,code,-0.012036132812500003,nan
llama3:8b,dc005,deception,clinical,fiction,-0.007067871093750011,nan
llama3:8b,dc005,deception,direct,data,-0.029486083984374994,-0.04054768880208333
llama3:8b,dc005,deception,direct,code,-0.0037109374999999972,-0.015692816840277776
llama3:8b,dc005,deception,direct,fiction,0.0012573242187499944,-0.011590576171875006
llama3:8b,dc005,deception,data,code,0.025775146484374997,0.024854871961805552
llama3:8b,dc005,deception,data,fiction,0.03074340820312499,0.028957112630208323
llama3:8b,dc005,deception,code,fiction,0.004968261718749992,0.004102240668402771
llama3:8b,dc006,deception,clinical,direct,-0.0035217285156250028,nan
llama3:8b,dc006,deception,clinical,data,-0.038250732421875,nan
llama3:8b,dc006,deception,clinical,code,-0.02993164062499999,nan
llama3:8b,dc006,deception,clinical,fiction,-0.02358398437499999,nan
llama3:8b,dc006,deception,direct,data,-0.03472900390625,nan
llama3:8b,dc006,deception,direct,code,-0.02640991210937499,-0.03973388671875
llama3:8b,dc006,deception,direct,fiction,-0.02006225585937499,-0.034063720703124994
llama3:8b,dc006,deception,data,code,0.008319091796875011,nan
llama3:8b,dc006,deception,data,fiction,0.014666748046875011,nan
llama3:8b,dc006,deception,code,fiction,0.00634765625,0.0056701660156250056
llama3:8b,dc007,deception,clinical,direct,-0.0002624511718749972,nan
llama3:8b,dc007,deception,clinical,data,0.009039306640625008,nan
llama3:8b,dc007,deception,clinical,code,-0.02134399414062499,nan
llama3:8b,dc007,deception,clinical,fiction,0.0008789062500000056,nan
llama3:8b,dc007,deception,direct,data,0.009301757812500006,0.0012003580729166574
llama3:8b,dc007,deception,direct,code,-0.02108154296874999,-0.0395965576171875
llama3:8b,dc007,deception,direct,fiction,0.0011413574218750028,-0.019439697265625
llama3:8b,dc007,deception,data,code,-0.030383300781249997,-0.04079691569010416
llama3:8b,dc007,deception,data,fiction,-0.008160400390625003,-0.020640055338541657
llama3:8b,dc007,deception,code,fiction,0.022222900390624994,0.0201568603515625
llama3:8b,dc008,deception,clinical,direct,-0.0036987304687499944,nan
llama3:8b,dc008,deception,clinical,data,-0.030200195312499997,nan
llama3:8b,dc008,deception,clinical,code,-0.012786865234375,nan
llama3:8b,dc008,deception,clinical,fiction,-0.017443847656249997,nan
